,exchange reaction id,exchange reaction name,exchange reaction,initial metabolite value
0,EX_ca2_e,Calcium exchange,ca2[e]  <=> ,1000
1,EX_cl_e,Chloride exchange,cl[e]  <=> ,1000
2,EX_co2_e,CO2 exchange,co2[e]  <=> ,1000
3,EX_cobalt2_e,Co2+ exchange,cobalt2[e]  <=> ,1000
4,EX_cu2_e,Cu2+ exchange,cu2[e]  <=> ,1000
5,EX_fe2_e,Fe2+ exchange,fe2[e]  <=> ,1000
6,EX_fe3_e,Fe3+ exchange,fe3[e]  <=> ,1000
7,EX_h_e,H+ exchange,h[e]  <=> ,1000
8,EX_h2o_e,H2O exchange,h2o[e]  <=> ,1000
9,EX_k_e,K+ exchange,k[e]  <=> ,1000
10,EX_mg2_e,Mg exchange,mg2[e]  <=> ,1000
11,EX_mn2_e,Mn2+ exchange,mn2[e]  <=> ,1000
12,EX_mobd_e,Molybdate exchange,mobd[e]  <=> ,1000
13,EX_na1_e,Sodium exchange,na1[e]  <=> ,1000
14,EX_tungs_e,tungstate exchange,tungs[e]  <=> ,1000
15,EX_zn2_e,Zinc exchange,zn2[e]  <=> ,1000
16,EX_ni2_e,Ni2+ exchange,ni2[e]  <=> ,1000
17,EX_sel_e,Selenate exchange,sel[e]  <=> ,1000
18,EX_slnt_e,selenite exchange,slnt[e]  <=> ,1000
19,EX_glc__D_e,D-Glucose exchange,glc-D[e]  <=> ,20
20,EX_so4_e,Sulfate exchange,so4[e]  <=> ,1000
21,EX_nh4_e,Ammonia exchange,nh4[e]  <=> ,1000
22,EX_pi_e,Phosphate exchange,pi[e]  <=> ,1000
23,EX_cbl1_e,Cob(I)alamin exchange,cbl1[e]  <=> ,0.01
24,EX_o2_e,O2 exchange,o2[e]  <=> ,20
